2,0,244,244,244,244,244,244,244,244,244
2,1,750,750,750,750,750,750,750,750,750
2,2,1250,1250,1250,1250,1250,1250,1250,1250,1250
2,3,1749,1749,1749,1749,1749,1749,1749,1749,1749
2,4,2319,2319,2319,2319,2319,2319,2319,2319,2319
2,5,2846,2846,2846,2846,2846,2846,2846,2846,2846
2,6,3347,3347,3347,3347,3347,3347,3347,3347,3347
2,7,3748,3748,3748,3748,3748,3748,3748,3748,3748
2,8,4116,4116,4116,4116,4116,4116,4116,4116,4116
2,9,4597,4597,4597,4597,4597,4597,4597,4597,4597
2,10,5060,5060,5060,5060,5060,5060,5060,5060,5060
2,11,5161,5161,5161,5161,5161,5161,5161,5161,5161
2,12,5044,5044,5044,5044,5044,5044,5044,5044,5044
2,13,4793,4793,4793,4793,4793,4793,4793,4793,4793
